Source,Target,Amount,LND1
10553,530,482856,"[[10553, 32, 84, 530], np.float64(243.42873999999998), np.int64(224), 4, 'Success']"
4311,3613,3709553,"[[4311, 321, 3613], np.float64(371.9553), np.int64(184), 3, 'Failure']"
3871,10455,11823288,"[[3871, 172, 173, 55, 10455], np.float64(652.53084), np.int64(116), 5, 'Failure']"
9038,1872,10,"[[9038, 8768, 8688, 609, 1872], np.float64(0.03001), np.int64(264), 5, 'Success']"
509,5009,34,"[[509, 233, 894, 504, 5009], np.float64(1.00623), np.int64(252), 5, 'Success']"
12388,2378,465,"[[12388, 314, 570, 320, 2378], np.float64(1.00246), np.int64(244), 5, 'Success']"
6335,7352,7312,"[[6335, 2, 7218, 7352], np.float64(0.0), np.int64(202), 4, 'Success']"
5581,1897,35251,"[[5581, 463, 220, 185, 1897], np.float64(6.11156), np.int64(154), 5, 'Success']"
12863,4721,277229,"[[12863, 4311, 233, 4721], np.float64(1820.9304200000001), np.int64(114), 4, 'Failure']"
2580,3930,5379144,"[[2580, 233, 3930], np.float64(2114.00058), np.int64(74), 3, 'Failure']"
9488,11268,12317777,"[[9488, 445, 11268], np.float64(13.31778), np.int64(80), 3, 'Success']"
10133,4260,2,"[[10133, 67, 167, 4260], np.float64(2.25011), np.int64(110), 4, 'Success']"
4431,12703,45,"[[4431, 2584, 167, 82, 12703], np.float64(1.01275), np.int64(150), 5, 'Success']"
7933,7680,266,"[[7933, 600, 2223, 6274, 7680], np.float64(0.266), np.int64(264), 5, 'Success']"
3260,7298,4493,"[[3260, 21, 7218, 7298], np.float64(1.00449), np.int64(224), 4, 'Success']"
11938,9874,22900,"[[11938, 11935, 167, 9874], np.float64(1.4788999999999999), np.int64(110), 4, 'Failure']"
7030,3451,317260,"[[7030, 78, 392, 857, 3451], np.float64(24.28942), np.int64(160), 5, 'Success']"
42,6876,7687746,"[[42, 3292, 6876], np.float64(0.0), np.int64(62), 3, 'Success']"
3930,4127,12062955,"[[3930, 18, 177, 4127], np.float64(678.77614), np.int64(114), 4, 'Failure']"
7968,1251,2,"[[7968, 620, 2, 1236, 1251], np.float64(1.006), np.int64(138), 5, 'Success']"
4543,8918,48,"[[4543, 3083, 7218, 8768, 8918], np.float64(0.0), np.int64(472), 5, 'Success']"
2153,11764,324,"[[2153, 855, 12325, 600, 11764], np.float64(1.03699), np.int64(154), 5, 'Success']"
11520,10613,5643,"[[11520, 11695, 21, 10294, 10613], np.float64(2.01128), np.int64(264), 5, 'Failure']"
8317,508,72565,"[[8317, 609, 592, 2, 508], np.float64(8.40164), np.int64(138), 5, 'Failure']"
11195,9770,100158,"[[11195, 667, 855, 9770], np.float64(40.06721), np.int64(120), 4, 'Success']"
5979,6326,3843876,"[[5979, 12325, 6326], np.float64(0.0), np.int64(74), 3, 'Failure']"
3941,9510,21081899,"[[3941, 301, 9510], np.float64(10540.9495), np.int64(61), 3, 'Failure']"
925,11519,5,"[[925, 924, 1139, 3832, 167, 8128, 11519], np.float64(1.0182099999999998), np.int64(230), 7, 'Success']"
2587,10828,32,"[[2587, 609, 2223, 3083, 10828], np.float64(3e-05), np.int64(264), 5, 'Success']"
1061,12207,667,"[[1061, 600, 6219, 1139, 12207], np.float64(2.0036799999999997), np.int64(160), 5, 'Success']"
6149,13002,9160,"[[6149, 11488, 167, 3060, 13002], np.float64(2.4305700000000003), np.int64(150), 5, 'Success']"
9433,151,44352,"[[9433, 9682, 18, 59, 151], np.float64(5.77808), np.int64(160), 5, 'Success']"
9733,3972,219164,"[[9733, 9773, 850, 84, 3972], np.float64(8.62998), np.int64(160), 5, 'Failure']"
8327,6365,1509216,"[[8327, 8366, 148, 177, 6365], np.float64(644.70272), np.int64(150), 5, 'Success']"
63,10159,13239188,"[[63, 321, 10159], np.float64(14.23919), np.int64(80), 3, 'Success']"
2794,6576,5,"[[2794, 855, 9401, 6576], np.float64(0.00115), np.int64(120), 4, 'Success']"
4339,2033,53,"[[4339, 3622, 1369, 2033], np.float64(1.0114), np.int64(120), 4, 'Success']"
12198,5170,752,"[[12198, 12173, 10917, 6079, 4822, 5170], np.float64(1.07294), np.int64(298), 6, 'Success']"
