Source,Target,Amount,LND1
11621,8056,16,"[[11621, 795, 4343, 1121, 167, 12325, 9314, 468, 10, 8056], np.float64(27.05639), np.int64(552), 10, 'Success']"
9231,5710,351,"[[9231, 8768, 10113, 12325, 8168, 6918, 5710], np.float64(27.15606), np.int64(338), 7, 'Failure']"
6824,13087,3695,"[[6824, 600, 5868, 1139, 13087], np.float64(22.20698), np.int64(160), 5, 'Success']"
9699,12626,57584,
707,5594,694311,"[[707, 86, 12325, 4734, 4976, 9682, 5594], np.float64(62.1053), np.int64(228), 7, 'Failure']"
8155,647,1006458,"[[8155, 2943, 4189, 3443, 3292, 12325, 8723, 647], np.float64(2234.48888), np.int64(254), 8, 'Failure']"
2508,5530,13867595,"[[2508, 177, 56, 58, 5530], np.float64(4329.60269), np.int64(126), 5, 'Failure']"
10208,1162,5,"[[10208, 64, 175, 6020, 634, 1162], np.float64(7.2555499999999995), np.int64(282), 6, 'Success']"
3924,2719,16,"[[3924, 855, 6010, 600, 233, 3761, 2719], np.float64(28.92273), np.int64(614), 7, 'Success']"
6181,12021,864,"[[6181, 2584, 3569, 21, 12021], np.float64(2.93513), np.int64(160), 5, 'Success']"
5061,6817,6657,"[[5061, 2877, 137, 215, 19, 609, 6817], np.float64(3.4434400000000003), np.int64(206), 7, 'Success']"
5555,2677,57557,"[[5555, 32, 2677], np.float64(29.72094), np.int64(184), 3, 'Success']"
8145,12287,242510,"[[8145, 4869, 4744, 4090, 12325, 321, 12287], np.float64(2.72753), np.int64(234), 7, 'Failure']"
8289,4433,1492645,"[[8289, 58, 3292, 12325, 4433], np.float64(3624.14606), np.int64(128), 5, 'Failure']"
56,2622,15926574,"[[56, 2578, 154, 2622], np.float64(46204.99367), np.int64(218), 4, 'Failure']"
4084,11073,6,"[[4084, 36, 3642, 11057, 11073], np.float64(0.027450000000000002), np.int64(290), 5, 'Success']"
11962,3024,60,"[[11962, 32, 5829, 1927, 1039, 3024], np.float64(2.05433), np.int64(304), 6, 'Success']"
8227,10675,379,"[[8227, 600, 1236, 2, 7218, 10294, 10675], np.float64(2.1399999999999997), np.int64(426), 7, 'Success']"
9845,4023,9710,"[[9845, 173, 60, 1983, 4479, 4023], np.float64(6.69748), np.int64(178), 6, 'Failure']"
13011,4548,31703,"[[13011, 12532, 11928, 56, 173, 60, 3083, 4548], np.float64(6.057080000000001), np.int64(340), 8, 'Failure']"
556,10202,405906,"[[556, 894, 18, 10202], np.float64(32.66078), np.int64(114), 4, 'Failure']"
4405,3750,8059322,"[[4405, 4338, 173, 53, 3750], np.float64(12535.163980000001), np.int64(138), 5, 'Failure']"
50,53,19410316,"[[50, 175, 53], np.float64(0.0), np.int64(36), 3, 'Failure']"
2791,6367,4,"[[2791, 32, 6367], np.float64(1.002), np.int64(178), 3, 'Success']"
1817,12243,35,"[[1817, 855, 11840, 6503, 12163, 9582, 12243], np.float64(0.01155), np.int64(234), 7, 'Success']"
9054,6392,153,"[[9054, 8768, 10113, 12325, 6722, 6392], np.float64(0.45946000000000004), np.int64(298), 6, 'Success']"
13008,8588,9342,"[[13008, 13000, 12987, 12768, 10113, 12325, 11837, 314, 8588], np.float64(26.06752), np.int64(396), 9, 'Failure']"
6069,2683,18173,"[[6069, 855, 2683], np.float64(3.6346), np.int64(80), 3, 'Success']"
408,2153,197530,"[[408, 32, 2153], np.float64(99.56747), np.int64(184), 3, 'Success']"
3939,6093,1165176,"[[3939, 61, 167, 3892, 8045, 6093], np.float64(185.1894), np.int64(190), 6, 'Success']"
2702,3386,12448526,"[[2702, 66, 175, 3386], np.float64(686.91893), np.int64(98), 4, 'Failure']"
