Source,Target,Amount,LND1,LND2: c/300000.0,LND2: c/10.0
8314,529,16587799,"[[8314, 175, 173, 4338, 7396, 529], 6555.205279999999, 178, 6, 'Success']","[[8314, 175, 67, 445, 8168, 351, 4792, 529], 4946.94413, 252, 8, 'Success']","[[8314, 175, 67, 445, 8168, 351, 4792, 529], 4946.94413, 252, 8, 'Success']"
8150,8762,1,"[[8150, 855, 8762], 0.0002, 80, 3, 'Success']","[[8150, 855, 8260, 167, 5101, 8762], 4e-05, 190, 6, 'Success']","[[8150, 855, 8260, 167, 5101, 8762], 4e-05, 190, 6, 'Success']"
3588,11756,34,"[[3588, 137, 11837, 314, 11756], 0.11057, 252, 5, 'Success']","[[3588, 137, 12325, 3093, 12157, 3372, 6621, 850, 11756], 0.0015300000000000001, 324, 9, 'Success']","[[3588, 137, 12325, 3093, 12157, 3372, 6621, 850, 11756], 0.0015300000000000001, 324, 9, 'Success']"
10320,7297,440,"[[10320, 27, 22, 2, 7218, 7297], 1.00585, 276, 6, 'Success']","[[10320, 27, 26, 12325, 36, 7218, 7297], 0.0098, 358, 7, 'Success']","[[10320, 27, 26, 12325, 36, 7218, 7297], 0.0098, 358, 7, 'Success']"
6993,9041,7770,"[[6993, 2, 8768, 9041], 0.0, 202, 4, 'Success']","[[6993, 2, 8768, 9041], 0.0, 202, 4, 'Success']","[[6993, 2, 8768, 9041], 0.0, 202, 4, 'Success']"
6800,3336,30243,"[[6800, 2, 32, 3336], 16.09126, 202, 4, 'Success']","[[6800, 2, 36, 1139, 6324, 3297, 6764, 3896, 1346, 3336], 8.231100000000001, 364, 10, 'Success']","[[6800, 2, 36, 1139, 6324, 3297, 6764, 3896, 1346, 3336], 8.231100000000001, 364, 10, 'Success']"
6893,9306,953361,"[[6893, 12325, 321, 9306], 1.95336, 114, 4, 'Success']","[[6893, 12325, 321, 9306], 1.95336, 114, 4, 'Success']","[[6893, 12325, 321, 9306], 1.95336, 114, 4, 'Success']"
6336,3819,1126211,"[[6336, 5552, 8186, 18, 3819], 7.73107, 160, 5, 'Success']","[[6336, 5552, 2232, 6200, 12325, 6669, 3819], 3.25242, 234, 7, 'Success']","[[6336, 5552, 2232, 6200, 12325, 6669, 3819], 3.25242, 234, 7, 'Success']"
84,204,11414027,"[[84, 445, 32, 204], 5709.01919, 224, 4, 'Success']","[[84, 445, 32, 204], 5709.01919, 224, 4, 'Success']","[[84, 445, 32, 204], 5709.01919, 224, 4, 'Success']"
10885,151,8,"[[10885, 6274, 3642, 167, 483, 151], 0.02802, 294, 6, 'Success']","[[10885, 6274, 3642, 167, 483, 151], 0.02802, 294, 6, 'Success']","[[10885, 6274, 3642, 167, 483, 151], 0.02802, 294, 6, 'Success']"
